,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
41,Pollyanna (1960),7.4,"Comedy, Drama, Family",134 min,David Swift,"Jane Wyman,Hayley Mills,Richard Egan,Karl Malden,","9,189",
42,The Sign of Zorro (1958),7.1,"Adventure, Drama, Family",91 min,Lewis R. Foster,"Norman Foster,Guy Williams,Henry Calvin,Gene Sheldon,Romney Brent,",806,G
43,The Absent Minded Professor (1961),6.8,"Comedy, Family, Sci-Fi",92 min,Robert Stevenson,"Fred MacMurray,Nancy Olson,Keenan Wynn,Tommy Kirk,","7,421",
44,Greyfriars Bobby: The True Story of a Dog (1961),7.3,"Drama, Family",91 min,Don Chaffey,"Donald Crisp,Laurence Naismith,Alex Mackenzie,Duncan Macrae,","1,353",
45,The Parent Trap (1961),7.1,"Comedy, Family, Romance",129 min,David Swift,"Hayley Mills,Maureen O'Hara,Brian Keith,Charles Ruggles,","18,990",U
46,Babes in Toyland (1961),6.3,"Comedy, Family, Fantasy",106 min,Jack Donohue,"Ray Bolger,Tommy Sands,Annette Funicello,Ed Wynn,","3,546",
47,One Hundred and One Dalmatians (1961),7.3,"Animation, Adventure, Comedy",79 min,Clyde Geronimi,"Hamilton Luske,Wolfgang Reitherman,Rod Taylor,Betty Lou Gerson,J. Pat O'Malley,Martha Wentworth,","152,994",
48,In Search of the Castaways (1962),6.6,"Adventure, Family, Fantasy",98 min,Robert Stevenson,"Hayley Mills,Maurice Chevalier,George Sanders,Wilfrid Hyde-White,","2,827",
49,The Legend of Lobo (1962),7,"Adventure, Family",67 min,Rex Allen,"Ingvald Lieberkind,Robert Dalban,",457,
50,Almost Angels (1962),6.5,"Comedy, Family, Music",93 min,Steve Previn,"Vincent Winter,Sean Scully,Peter Weck,Hans Holt,",428,
51,Big Red (1962),6.4,"Adventure, Drama, Family",89 min,Norman Tokar,"Walter Pidgeon,Gilles Payant,Émile Genest,Janette Bertrand,",678,
52,Moon Pilot (1962),5.4,"Family, Comedy, Sci-Fi",98 min,James Neilson,"Tom Tryon,Brian Keith,Edmond O'Brien,Dany Saval,",394,
53,Bon Voyage! (1962),5.8,"Family, Comedy, Adventure",130 min,James Neilson,"Fred MacMurray,Jane Wyman,Michael Callan,Deborah Walley,",573,
54,Miracle of the White Stallions (1963),6.6,"Adventure, Drama, Family",118 min,Arthur Hiller,"Robert Taylor,Lilli Palmer,Curd Jürgens,Eddie Albert,",600,
55,Summer Magic (1963),7.1,"Comedy, Family, Musical",110 min,James Neilson,"Hayley Mills,Dorothy McGuire,Burl Ives,Deborah Walley,","2,164",
56,Savage Sam (1963),6.2,"Adventure, Drama, Family",103 min,Norman Tokar,"Brian Keith,Tommy Kirk,Kevin Corcoran,Dewey Martin,",947,
57,The Incredible Journey (1963),7.1,"Adventure, Drama, Family",80 min,Fletcher Markle,"Émile Genest,John Drainie,Tommy Tweed,Sandra Scott,","4,069",
58,The Sword in the Stone (1963),7.2,"Animation, Adventure, Comedy",79 min,Wolfgang Reitherman,"Clyde Geronimi,David Hand,Rickie Sorensen,Sebastian Cabot,Karl Swenson,Junius Matthews,","89,701",U
59,Son of Flubber (1963),6.1,"Comedy, Sci-Fi, Family",100 min,Robert Stevenson,"Fred MacMurray,Nancy Olson,Keenan Wynn,Tommy Kirk,","2,674",
60,Mary Poppins (1964),7.8,"Comedy, Family, Fantasy",139 min,Robert Stevenson,"Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,","158,082",U
61,A Tiger Walks (1964),6.4,"Family, Drama",91 min,Norman Tokar,"Brian Keith,Vera Miles,Pamela Franklin,Sabu,",293,
62,The Misadventures of Merlin Jones (1964),6.4,"Family, Comedy, Sci-Fi",91 min,Robert Stevenson,"Tommy Kirk,Annette Funicello,Leon Ames,Stuart Erwin,",655,
63,The Three Lives of Thomasina (1963),7.2,"Drama, Family",97 min,Don Chaffey,"Patrick McGoohan,Susan Hampshire,Laurence Naismith,Jean Anderson,","2,145",PG
64,The Moon-Spinners (1964),6.7,"Adventure, Family, Mystery",118 min,James Neilson,"Hayley Mills,Eli Wallach,Pola Negri,Peter McEnery,","2,252",
65,Emil and the Detectives (1964),6.2,"Comedy, Family, Drama",99 min,Peter Tewksbury,"Walter Slezak,Bryan Russell,Roger Mobley,Heinz Schubert,",530,
66,That Darn Cat! (1965),6.8,"Comedy, Crime, Family",116 min,Robert Stevenson,"Hayley Mills,Dean Jones,Dorothy Provine,Roddy McDowall,","6,072",
67,The Monkey's Uncle (1965),6.1,"Family, Comedy, Sci-Fi",87 min,Robert Stevenson,"Tommy Kirk,Annette Funicello,Leon Ames,Arthur O'Connell,",755,
68,Those Calloways (1965),6.7,"Drama, Family",131 min,Norman Tokar,"Brian Keith,Vera Miles,Brandon De Wilde,Walter Brennan,",563,
69,The Ugly Dachshund (1966),6.7,"Comedy, Family",93 min,Norman Tokar,"Dean Jones,Suzanne Pleshette,Charles Ruggles,Kelly Thordsen,","3,628",
70,"Follow Me, Boys! (1966)",7.2,"Drama, Family",131 min,Norman Tokar,"Fred MacMurray,Vera Miles,Lillian Gish,Charles Ruggles,","2,111",
71,The Fighting Prince of Donegal (1966),6.2,"Adventure, Biography, Family",110 min,Michael O'Herlihy,"Peter McEnery,Susan Hampshire,Tom Adams,Gordon Jackson,",341,
72,Lt,6.1,"Adventure, Comedy, Family",110 min,Byron Paul,"Dick Van Dyke,Nancy Kwan,Akim Tamiroff,Arthur Malet,","1,243",
73,The Jungle Book (1967),7.6,"Animation, Adventure, Family",78 min,Wolfgang Reitherman,"Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman,","166,467",U
74,The Happiest Millionaire (1967),6.8,"Comedy, Family, Musical",141 min,Norman Tokar,"Fred MacMurray,Tommy Steele,Greer Garson,Gladys Cooper,","1,796",
75,"Charlie, the Lonesome Cougar (1967)",6.9,"Adventure, Family",75 min,Winston Hibler,"Ron Brown,Brian Russell,Linda Wallace,Jim Wilson,",792,
76,The Gnome-Mobile (1967),6.6,"Adventure, Family, Fantasy",84 min,Robert Stevenson,"Walter Brennan,Matthew Garber,Karen Dotrice,Richard Deacon,","1,981",
77,The Adventures of Bullwhip Griffin (1967),6.5,"Action, Adventure, Comedy",108 min,James Neilson,"Roddy McDowall,Suzanne Pleshette,Karl Malden,Harry Guardino,",803,
78,"Monkeys, Go Home! (1967)",5.9,"Comedy, Family",101 min,Andrew V. McLaglen,"Maurice Chevalier,Dean Jones,Yvette Mimieux,Bernard Woringer,",444,
79,Never a Dull Moment (1968),6.2,"Family, Comedy, Crime",99 min,Jerry Paris,"Dick Van Dyke,Edward G. Robinson,Dorothy Provine,Henry Silva,",621,G
80,Blackbeard's Ghost (1968),6.9,"Comedy, Family, Fantasy",106 min,Robert Stevenson,"Peter Ustinov,Dean Jones,Suzanne Pleshette,Elsa Lanchester,","5,290",
81,The Love Bug (1968),6.5,"Comedy, Family, Sport",108 min,Robert Stevenson,"Dean Jones,Michele Lee,David Tomlinson,Buddy Hackett,","14,426",
82,"The One and Only, Genuine, Original Family Band (1968)",6.5,"Comedy, Drama, Family",110 min,Michael O'Herlihy,"Walter Brennan,Buddy Ebsen,Lesley Ann Warren,John Davidson,",800,
83,The Horse in the Gray Flannel Suit (1968),6.5,"Family, Comedy, Drama",113 min,Norman Tokar,"Dean Jones,Diane Baker,Lloyd Bochner,Fred Clark,",877,
84,The Horse in the Gray Flannel Suit (1968),6.5,"Family, Comedy, Drama",113 min,Norman Tokar,"Dean Jones,Diane Baker,Lloyd Bochner,Fred Clark,",877,
85,The Computer Wore Tennis Shoes (1969),6.1,"Comedy, Family, Sci-Fi",91 min,Robert Butler,"Kurt Russell,Cesar Romero,Joe Flynn,William Schallert,","4,591",
86,Rascal (1969),6.5,"Drama, Family",85 min,Norman Tokar,"Steve Forrest,Bill Mumy,Pamela Toll,Elsa Lanchester,",406,
87,Smith! (1969),5.9,"Drama, Family, Western",112 min,Michael O'Herlihy,"Glenn Ford,Nancy Olson,Dean Jagger,Keenan Wynn,",202,
88,Smoke (1970 TV Movie),6.7,"Adventure, Family, Drama",89 min,Vincent McEveety,"Earl Holliman,Ron Howard,Jacqueline Scott,Shug Fisher,",119,
89,The Aristo Cats (1970),7.1,"Animation, Adventure, Comedy",78 min,Wolfgang Reitherman,"Phil Harris,Eva Gabor,Sterling Holloway,Scatman Crothers,","94,028",U
90,The Wild Country (1970),6.4,"Action, Adventure, Comedy",100 min,Robert Totten,"Steve Forrest,Vera Miles,Ron Howard,Clint Howard,",258,
91,King of the Grizzlies (1970),5.8,"Western, Family",93 min,Ron Kelly,"John Yesno,Chris Wiggins,Hugh Webster,Jack Van Evera,",148,
92,The Boatniks (1970),5.5,"Family, Comedy",99 min,Norman Tokar,"Robert Morse,Stefanie Powers,Phil Silvers,Norman Fell,",676,
93,The Million Dollar Duck (1971),5.9,"Comedy, Family, Sci-Fi",89 min,Vincent McEveety,"Dean Jones,Sandy Duncan,Joe Flynn,Tony Roberts,","2,034",
94,Bedknobs and Broomsticks (1971),7.1,"Animation, Adventure, Comedy",117 min,Robert Stevenson,"Ward Kimball,Angela Lansbury,David Tomlinson,Roddy McDowall,Sam Jaffe,","34,205",
95,Scandalous John (1971),6,"Comedy, Drama, Family",113 min,Robert Butler,"Brian Keith,Alfonso Arau,Michele Carey,Rick Lenz,",106,
96,The Barefoot Executive (1971),6,"Family, Comedy",96 min,Robert Butler,"Kurt Russell,Joe Flynn,Harry Morgan,Wally Cox,","1,678",
97,"Chandar, the Black Leopard of Ceylon (1972)",6.6,"Adventure, Family",90 min,Winston Hibler,"Ben Wright,Joe Abeywickrama,Esrom Jayasinghe,Frederick Steyne,",21,
98,"Run, Cougar, Run (1972)",6.5,"Drama, Family, Western",87 min,Jerome Courtland,"Stuart Whitman,Frank Aletter,Lonny Chapman,Douglas Fowley,",74,
99,Napoleon and Samantha (1972),6.1,"Adventure, Drama",92 min,Bernard McEveety,"Michael Douglas,Jodie Foster,Johnny Whitaker,Will Geer,",856,
100,Snowball Express (1972),,"Comedy, Family",93 min,Norman Tokar,"Dean Jones,Nancy Olson,Harry Morgan,Keenan Wynn,","1,542",
101,The Biscuit Eater (1972),5.7,"Drama, Family",90 min,Vincent McEveety,"Earl Holliman,Pat Crowley,Lew Ayres,Godfrey Cambridge,",354,
102,"Now You See Him, Now You Don't (1972)",6.3,"Family, Comedy, Sci-Fi",88 min,Robert Butler,"Kurt Russell,Cesar Romero,Joe Flynn,Jim Backus,","1,798",
103,The World's Greatest Athlete (1973),5.8,"Comedy, Family, Romance",93 min,Robert Scheerer,"John Amos,Jan-Michael Vincent,Tim Conway,Roscoe Lee Browne,","1,449",
104,Charley and the Angel (1973),6.2,"Family, Comedy, Fantasy",93 min,Vincent McEveety,"Fred MacMurray,Cloris Leachman,Harry Morgan,Kurt Russell,",466,
105,One Little Indian (1973),6.3,"Comedy, Family, Western",90 min,Bernard McEveety,"James Garner,Vera Miles,Pat Hingle,Morgan Woodward,",538,
106,Mustang (1973),7.4,Drama,,Roy Edward Disney,"Frank Zuniga,Charles Baca,Flavio Martinez,Ignacio Ramírez,Eloy Casados,",25,
107,Superdad (1973),5.3,"Comedy, Family",96 min,Vincent McEveety,"Bob Crane,Kurt Russell,Barbara Rush,Joe Flynn,",644,
108,Robin Hood (1973),7.6,"Animation, Adventure, Comedy",83 min,Wolfgang Reitherman,"David Hand,Brian Bedford,Phil Harris,Roger Miller,Peter Ustinov,","115,841",U
109,The Island at the Top of the World (1974),6.3,"Adventure, Family, Fantasy",93 min,Robert Stevenson,"David Hartman,Donald Sinden,Jacques Marin,Mako,","2,391",
110,The Castaway Cowboy (1974),6,"Comedy, Family, Western",91 min,Vincent McEveety,"James Garner,Vera Miles,Robert Culp,Eric Shea,",542,
111,The Bears and I (1974),6.2,"Drama, Family",89 min,Bernard McEveety,"Patrick Wayne,Chief Dan George,Andrew Duggan,Michael Ansara,",328,
112,Herbie Rides Again (1974),5.7,"Comedy, Family, Fantasy",88 min,Robert Stevenson,"Helen Hayes,Ken Berry,Stefanie Powers,John McIntire,","7,417",
113,Ride a Wild Pony (1975),6.3,"Adventure, Family",91 min,Don Chaffey,"Michael Craig,John Meillon,Robert Bettles,Eva Griffith,",167,
114,The Boy Who Talked to Badgers (1975),6.1,"Adventure, Family",89 min,Gary Nelson,"Christian Juttner,Carl Betz,Salome Jens,Denver Pyle,",72,
115,One of Our Dinosaurs Is Missing (1975),6,"Family, Adventure, Comedy",100 min,Robert Stevenson,"Peter Ustinov,Helen Hayes,Derek Nimmo,Hugh Burden,","1,608",
116,One of Our Dinosaurs Is Missing (1975),6,"Family, Adventure, Comedy",100 min,Robert Stevenson,"Peter Ustinov,Helen Hayes,Derek Nimmo,Hugh Burden,","1,608",
117,Escape to Witch Mountain (1975),6.4,"Adventure, Family, Fantasy",97 min,John Hough,"Eddie Albert,Ray Milland,Donald Pleasence,Kim Richards,","9,319",U
118,The Apple Dumpling Gang (1975),6.5,"Comedy, Family, Western",100 min,Norman Tokar,"Bill Bixby,Susan Clark,Don Knotts,Tim Conway,","5,114",
119,The Strongest Man in the World (1975),6.1,"Comedy, Family, Sci-Fi",92 min,Vincent McEveety,"Kurt Russell,Joe Flynn,Eve Arden,Cesar Romero,","2,786",
120,The Shaggy D,5.9,"Comedy, Family, Fantasy",91 min,Robert Stevenson,"Dean Jones,Suzanne Pleshette,Tim Conway,Keenan Wynn,","2,672",
121,Treasure of Matecumbe (1976),6.2,"Adventure, Family, Western",117 min,Vincent McEveety,"Robert Foxworth,Joan Hackett,Peter Ustinov,Vic Morrow,",600,
122,"No Deposit, No Return (1976)",6.6,"Comedy, Family",112 min,Norman Tokar,"David Niven,Darren McGavin,Don Knotts,Herschel Bernardi,","1,339",
123,Freaky Friday (1976),6.3,"Comedy, Family, Fantasy",95 min,Gary Nelson,"Barbara Harris,Jodie Foster,John Astin,Patsy Kelly,","11,731",U
124,Gus (1976),5.9,"Comedy, Family, Sport",96 min,Vincent McEveety,"Edward Asner,Don Knotts,Gary Grimes,Tim Conway,","1,669",
125,Escape from the Dark (1976),7.1,"Family, Drama",104 min,Charles Jarrott,"Alastair Sim,Peter Barkworth,Maurice Colbourne,Susan Tebbs,",344,
126,Candleshoe (1977),6.8,"Adventure, Comedy, Drama",101 min,Norman Tokar,"Jodie Foster,David Niven,Helen Hayes,Leo McKern,","3,830",
127,The Rescuers (1977),6.9,"Animation, Adventure, Comedy",78 min,John Lounsbery,"Wolfgang Reitherman,Art Stevens,Bob Newhart,Eva Gabor,Geraldine Page,Joe Flynn,","58,384",
128,A Tale of Two Critters (1977),6.2,"Adventure, Family",48 min,Jack Speirs,"Mayf Nutter,",144,
129,The Many Adventures of Winnie the Pooh (1977),7.6,"Animation, Adventure, Comedy",74 min,John Lounsbery,"Wolfgang Reitherman,Ben Sharpsteen,Sebastian Cabot,Junius Matthews,Barbara Luddy,Howard Morris,","32,681",U
130,Herbie Goes to Monte Carlo (1977),5.7,"Action, Adventure, Comedy",105 min,Vincent McEveety,"Dean Jones,Don Knotts,Julie Sommars,Jacques Marin,","6,860",
131,Pete's Dragon (1977),6.4,"Animation, Adventure, Comedy",128 min,Don Chaffey,"Don Bluth,Sean Marshall,Helen Reddy,Jim Dale,Mickey Rooney,","22,454",
132,Hot Lead and Cold Feet (1978),6.2,"Action, Comedy, Family",90 min,Robert Butler,"Jim Dale,Darren McGavin,Karen Valentine,Don Knotts,","1,177",
133,Return from Witch Mountain (1978),5.8,"Family, Adventure, Sci-Fi",95 min,John Hough,"Bette Davis,Christopher Lee,Kim Richards,Ike Eisenmann,","4,532",U
134,The Cat from Outer Space (1978),6.1,"Comedy, Family, Sci-Fi",104 min,Norman Tokar,"Ken Berry,Sandy Duncan,Harry Morgan,Roddy McDowall,","4,534",
135,The Black Hole (1979),6,"Action, Sci-Fi",98 min,Gary Nelson,"Maximilian Schell,Anthony Perkins,Robert Forster,Joseph Bottoms,","23,434",
136,The Muppet Movie (1979),7.6,"Adventure, Comedy, Family",95 min,James Frawley,"Jim Henson,Frank Oz,Jerry Nelson,Richard Hunt,","32,810",U
137,The Spaceman and King Arthur (1979),5.3,"Comedy, Family, Adventure",93 min,Russ Mayberry,"Dennis Dugan,Jim Dale,Ron Moody,Kenneth More,","1,000",
138,The North Avenue Irregulars (1979),6.8,"Action, Comedy, Crime",100 min,Bruce Bilson,"Edward Herrmann,Barbara Harris,Susan Clark,Karen Valentine,","1,065",
139,The Apple Dumpling Gang Rides Again (1979),6.2,"Comedy, Family, Western",88 min,Vincent McEveety,"Tim Conway,Don Knotts,Tim Matheson,Kenneth Mars,","2,493",
140,The Last Flight of Noah's Ark (1980),5.8,"Adventure, Family",97 min,Charles Jarrott,"Elliott Gould,Geneviève Bujold,Ricky Schroder,Vincent Gardenia,","1,244",
141,The Watcher in the Woods (1980),6.3,"Family, Horror, Mystery",84 min,John Hough,"Vincent McEveety,Bette Davis,Lynn-Holly Johnson,Kyle Richards,Carroll Baker,","5,606",
142,Midnight Madness (1980),6.5,Comedy,112 min,Michael Nankin,"David Wechter,David Naughton,Debra Clinger,Joel Kenney,David Damas,","3,176",
143,Popeye (1980),5.3,"Adventure, Comedy, Family",114 min,Robert Altman,"Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,","29,502",
144,Herbie Goes Bananas (1980),5,"Adventure, Comedy, Family",100 min,Vincent McEveety,"Charles Martin Smith,Stephen W. Burns,Cloris Leachman,John Vernon,","5,210",
